method,city,period,seed,n_users,n_users_overlap,k,ari,silhouette,dbi,csr,ts
kmeans,City-C,2024-11,2,650,650.0,8,0.42241833218631575,0.36701060977940114,1.0006212422708616,0.4107692307692308,3.6876130400306213
kmeans,City-C,2024-12,2,650,650.0,8,0.4801564842468948,0.42947466890687863,0.8486508966842929,0.23384615384615384,2.099315288706571
dynec,City-A,2024-01,2,800,,8,0.7724345350992177,0.5816833692536835,0.5529534362058468,,
dynec,City-A,2024-02,2,800,800.0,8,0.8247373424053762,0.6854355022219006,0.4370655282982383,0.08375,0.21631224070824323
dynec,City-A,2024-03,2,800,800.0,8,0.7965070429275114,0.6590916693424833,0.42899901343014857,0.015,0.004027093918648829
dynec,City-A,2024-04,2,800,800.0,8,0.7584929850173481,0.6507746869602238,0.4433740383595693,0.025,0.011297512788570212
dynec,City-A,2024-05,2,800,800.0,8,0.6714819379494127,0.6663954532843762,0.4296938999664165,0.03,0.011360539713446726
dynec,City-A,2024-06,2,800,800.0,8,0.6228978474019723,0.6335399466599112,0.4913810829726396,0.03625,0.010251908304422765
dynec,City-A,2024-07,2,800,800.0,8,0.5400680437219498,0.6149976419886352,0.49107713840085976,0.04,0.00957923783794685
dynec,City-A,2024-08,2,800,800.0,8,0.46902029009173085,0.552355794569625,0.5978258263237801,0.035,0.011772928049584035
dynec,City-A,2024-09,2,800,800.0,8,0.4547637454553236,0.5604251521572988,0.5847194266396392,0.0375,0.010670796638727643
dynec,City-A,2024-10,2,800,800.0,8,0.44774967940287697,0.551702083572925,0.6270462617809496,0.0275,0.00425783119608927
dynec,City-A,2024-11,2,800,800.0,8,0.4463234339680447,0.5244158916795929,0.6284810754659789,0.02,0.0024733529228199527
dynec,City-A,2024-12,2,800,800.0,8,0.4457784048101022,0.5483377740773545,0.5603964260272325,0.1825,0.0024635723472013118
dynec,City-B,2024-01,2,500,,8,0.8923206287763216,0.6629500699570662,0.4443869862656552,,
